Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-02-26T20:07:50.011692Z,,CASH TOP-UP,,,USD 12.08,USD,1.2077
2021-02-26T20:11:07.716146Z,NVDA,BUY - MARKET,0.02191104,USD 551.32,USD 12.08,USD,1.2079
2021-05-10T17:39:17.313669Z,,CASH TOP-UP,,,USD 12.15,USD,1.2159
2021-05-10T17:39:49.307817Z,SPOT,BUY - MARKET,0.05278936,USD 230.16,USD 12.15,USD,1.2158
2021-06-04T14:02:30.486438Z,SPOT,SELL - MARKET,0.05278936,USD 237.55,USD 12.53,USD,1.2185
2021-06-04T14:08:54.418219Z,,CASH TOP-UP,,,USD 12.17,USD,1.218
2021-06-04T14:10:37.909289Z,MSFT,BUY - MARKET,0.0480192,USD 249.90,USD 13.21,USD,1.218
2021-07-19T13:31:17.509092Z,NVDA,SELL - MARKET,0.02191104,USD 715.62,USD 15.67,USD,1.1816
2021-07-20T13:30:33.105720Z,PLTR,BUY - MARKET,0.69124423,USD 21.70,USD 16.17,USD,1.1764
2021-08-09T13:31:38.986699Z,HOOD,BUY - MARKET,0.18712753,USD 58.73,USD 10.99,USD,1.1763
2021-09-10T04:54:59.923184Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.1833
2021-12-10T10:20:14.086103Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.1282
2022-03-11T05:55:45.310782Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.1002
2022-06-10T05:12:01.472050Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0641
2022-09-12T05:41:05.895044Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0096
2022-12-09T07:54:42.806940Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0579
2023-03-13T04:56:51.668008Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0732
2023-06-09T05:50:54.342391Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0796
2023-06-25T12:51:29.453755Z,PLTR,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,0.69124423,,USD 0,USD,1.0899
2023-06-25T12:51:29.456748Z,HOOD,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,0.18712753,,USD 0,USD,1.0899
2023-06-25T12:51:29.459607Z,MSFT,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,0.0480192,,USD 0,USD,1.0899
2023-06-25T12:51:29.485418Z,,TRANSFER FROM REVOLUT BANK UAB TO REVOLUT SECURITIES EUROPE UAB,,,USD 0.24,USD,1.0899
2023-09-15T10:39:05.104049Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0681
2023-12-18T19:01:34.111175Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0943
2024-02-17T15:13:39.565751Z,,CASH WITHDRAWAL,,,USD -0.30,USD,1.0799
2024-03-15T14:15:56.443007Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0916
2024-06-14T10:49:29.999843Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0718
2024-09-13T10:24:15.655740Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.1111
2024-12-13T13:36:03.484495Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0532
2025-03-14T15:18:11.819662Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.0903
2025-06-13T12:57:44.514524Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.1543
2025-09-11T14:28:21.286053Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.1759
2025-12-11T18:18:54.965681Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.1785
2026-03-18T18:31:48.793961Z,MSFT,DIVIDEND,,,USD 0.03,USD,1.1536
