Date;Ticker;Type;Quantity;Price per share;Total Amount;Currency;FX Rate
2021-02-26T20:07:50.011692Z;;CASH TOP-UP;;;$12,08;USD;1,2077
2021-02-26T20:11:07.716146Z;NVDA;BUY - MARKET;0,02191104;$551,32;$12,08;USD;1,2079
2021-05-10T17:39:17.313669Z;;CASH TOP-UP;;;$12,15;USD;1,2159
2021-05-10T17:39:49.307817Z;SPOT;BUY - MARKET;0,05278936;$230,16;$12,15;USD;1,2158
2021-06-04T14:02:30.486438Z;SPOT;SELL - MARKET;0,05278936;$237,55;$12,53;USD;1,2185
2021-06-04T14:08:54.418219Z;;CASH TOP-UP;;;$12,17;USD;1,218
2021-06-04T14:10:37.909289Z;MSFT;BUY - MARKET;0,0480192;$249,90;$13,21;USD;1,218
2021-07-19T13:31:17.509092Z;NVDA;SELL - MARKET;0,02191104;$715,62;$15,67;USD;1,1816
2021-07-20T13:30:33.105720Z;PLTR;BUY - MARKET;0,69124423;$21,70;$16,17;USD;1,1764
2021-08-09T13:31:38.986699Z;HOOD;BUY - MARKET;0,18712753;$58,73;$10,99;USD;1,1763
2021-09-10T04:54:59.923184Z;MSFT;DIVIDEND;;;$0,03;USD;1,1833
2021-12-10T10:20:14.086103Z;MSFT;DIVIDEND;;;$0,03;USD;1,1282
2022-03-11T05:55:45.310782Z;MSFT;DIVIDEND;;;$0,03;USD;1,1002
2022-06-10T05:12:01.472050Z;MSFT;DIVIDEND;;;$0,03;USD;1,0641
2022-09-12T05:41:05.895044Z;MSFT;DIVIDEND;;;$0,03;USD;1,0096
2022-12-09T07:54:42.806940Z;MSFT;DIVIDEND;;;$0,03;USD;1,0579
2023-03-13T04:56:51.668008Z;MSFT;DIVIDEND;;;$0,03;USD;1,0732
2023-06-09T05:50:54.342391Z;MSFT;DIVIDEND;;;$0,03;USD;1,0796
2023-06-25T12:51:29.453755Z;PLTR;TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB;0,69124423;;$0;USD;1,0899
2023-06-25T12:51:29.456748Z;HOOD;TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB;0,18712753;;$0;USD;1,0899
2023-06-25T12:51:29.459607Z;MSFT;TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB;0,0480192;;$0;USD;1,0899
2023-06-25T12:51:29.485418Z;;TRANSFER FROM REVOLUT BANK UAB TO REVOLUT SECURITIES EUROPE UAB;;;$0,24;USD;1,0899
2023-09-15T10:39:05.104049Z;MSFT;DIVIDEND;;;$0,03;USD;1,0681
2023-12-18T19:01:34.111175Z;MSFT;DIVIDEND;;;$0,03;USD;1,0943
2024-02-17T15:13:39.565751Z;;CASH WITHDRAWAL;;;-$0,30;USD;1,0799
2024-03-15T14:15:56.443007Z;MSFT;DIVIDEND;;;$0,03;USD;1,0916
2024-06-14T10:49:29.999843Z;MSFT;DIVIDEND;;;$0,03;USD;1,0718
2024-09-13T10:24:15.655740Z;MSFT;DIVIDEND;;;$0,03;USD;1,1111
2024-12-13T13:36:03.484495Z;MSFT;DIVIDEND;;;$0,03;USD;1,0532
2025-03-14T15:18:11.819662Z;MSFT;DIVIDEND;;;$0,03;USD;1,0903
;;;;;;;
;;;;;;;
;;;;;;;
