Reference,Date & Time (UTC),Transaction Type,Amount EUR,Fee EUR,Amount BTC,Fee BTC,BTC Price,Cost Basis (EUR),Destination,Description,Transaction Hash,Note
834864ff-f0a1-4467-a4ea-bd184c5e79b0,Feb 14 2025 19:41:54,Deposit,5.00,,,,,,,,,
198e109f-af77-4532-b07a-c904e321a10a,Feb 14 2025 19:45:55,Purchase,-5.00,0.06,0.00005267,,93791.53,5.00,,,,
39059d41-9d6c-47e2-889f-8619796e47f5,Feb 14 2025 20:42:30,Send,,,-0.00005267,0.00000606,,,bc1qx07s0dx90vwzpgusa6qkayrrdctnk693yng0hf,,cac3292f580083c8933b647849cdc588ab44c6e7fbf6d0278ebf6c6b25e8a61c,
ff67d196-f903-4f90-ac37-899db0a11825,Sep 26 2025 08:51:38,Deposit,50.34,,,,,,,,,
3dd413fc-c3bf-4d7b-85c9-421158a9bb3c,Sep 26 2025 14:05:05,Purchase,-50.34,0.64,0.00052975,,93817.84,50.34,,,,
634ce0ee-2ac6-4727-b1a9-7d2e5a43060b,Sep 26 2025 14:07:42,Send,,,-0.00052975,0.00001638,,,bc1qx07s0dx90vwzpgusa6qkayrrdctnk693yng0hf,,25e4c1d5c5a3c91104f3df34310137ae7e8c6d03b6ce0c5cf39950fd6244f8b6,
ac8d049b-f7a5-4b28-84b6-adf7faa4f98d,Sep 30 2025 08:53:50,Deposit,100.00,,,,,,,,,
802e3a27-3f01-460f-a4ad-dc5c0df87811,Sep 30 2025 12:12:27,Purchase,-100.00,1.27,0.00102366,,96448.04,100.00,,,,
5222ad0b-075f-478a-8c33-af9a03505340,Sep 30 2025 12:14:54,Send,,,-0.00102366,,,,bc1qx07s0dx90vwzpgusa6qkayrrdctnk693yng0hf,,3e8e9744fc4cbb6723d76a54f71967f79459cacfd900c5c74ec6762f2a7b2e57,
36ea853d-1083-42c5-8594-7bfb16320362,Oct 06 2025 11:37:40,Deposit,68.00,,,,,,,,,
c0de2a93-e201-4f6f-aa0b-6b43fa5796ee,Oct 06 2025 11:38:05,Purchase,-68.00,0.87,0.00062995,,106564.01,68.00,,,,
7cffec59-0e69-43b6-9508-a7f12942c3e0,Oct 17 2025 14:10:12,Deposit,27.76,,,,,,,,,
d716dd56-63b1-4c30-b53e-f15cf4d53af1,Oct 17 2025 21:25:01,Purchase,-27.76,0.35,,,83000.24,27.76,,Initiated target order,,
d716dd56-63b1-4c30-b53e-f15cf4d53af1,Oct 17 2025 21:26:18,Purchase,27.76,,,,83000.24,27.76,,Cancelled/expired target order,,
6d7022b0-f76b-4674-81af-3296e1bf0951,Oct 17 2025 21:26:46,Purchase,-27.76,0.35,,,88002.05,27.76,,Initiated target order,,
6d7022b0-f76b-4674-81af-3296e1bf0951,Oct 20 2025 10:13:06,Purchase,27.76,,,,88002.05,27.76,,Cancelled/expired target order,,
78b3428b-8bb5-4f89-9978-76bc1c8dfcd6,Oct 20 2025 10:14:00,Purchase,-27.76,0.35,0.00028743,,95362.35,27.76,,,,
1c6c9f01-e74d-4fe1-8674-6c5894254ad9,Oct 20 2025 10:15:49,Send,,,-0.00091738,,,,bc1qx07s0dx90vwzpgusa6qkayrrdctnk693yng0hf,,bcd752efe9d4db40d295a49caebcb3ccec8dce17b0d563cae73a60f73417bad8,
c640d52d-939d-4b31-9a5d-3cb73e68d575,Oct 27 2025 10:56:51,Deposit,400.00,,,,,,,,,
b9c655df-ff4c-4b75-b934-f53501ec6796,Oct 27 2025 10:57:30,Credit,,,0.0000048,,,,,,,
d2210f4b-82ae-405c-b33b-1e0dc60d906f,Oct 27 2025 10:57:30,Purchase,-400.00,4.70,0.00398286,,99250.29,400.00,,,,
ccce95d4-3696-487b-bffd-aa754365d2f2,Oct 27 2025 10:59:31,Send,,,-0.00398766,,,,bc1qy4qsphyv45pu967nrh27fzdpnzh0njn42fzpxq,,9adb29cfb021e7a69f6a2b5f4f721797d550b98e247662ff5e51057ed7b6b171,
06465d73-7fbc-4dff-930b-e00508381fde,Nov 04 2025 20:35:21,Deposit,30.00,,,,,,,,,
d354ebc8-bb98-4eb7-9a89-7e7a01b72e1c,Nov 04 2025 20:52:07,Purchase,-30.00,0.35,0.00033706,,87966.53,30.00,,,,
8d3496f9-32f1-4e38-9bd6-7f8611080858,Nov 04 2025 20:52:16,Purchase,-30.00,0.35,0.00033678,,88039.67,30.00,,,,
8d3496f9-32f1-4e38-9bd6-7f8611080858,Nov 04 2025 20:52:16,Purchase,30.00,,-0.00033678,,88039.67,30.00,,Reversal,,
836dd69f-e0c6-417a-aa70-d9fc66ee1372,Nov 04 2025 20:52:23,Purchase,-30.00,0.35,0.00033741,,87875.29,30.00,,,,
836dd69f-e0c6-417a-aa70-d9fc66ee1372,Nov 04 2025 20:52:23,Purchase,30.00,,-0.00033741,,87875.29,30.00,,Reversal,,
8c077ec0-62d1-422d-aa9b-4542917b28d0,Nov 04 2025 20:52:32,Purchase,-30.00,0.35,0.00033735,,87890.91,30.00,,,,
8c077ec0-62d1-422d-aa9b-4542917b28d0,Nov 04 2025 20:52:32,Purchase,30.00,,-0.00033735,,87890.91,30.00,,Reversal,,
69760394-42c4-4743-9e74-a7c7ce440a5a,Nov 04 2025 20:52:38,Purchase,-30.00,0.35,0.00033745,,87864.87,30.00,,,,
69760394-42c4-4743-9e74-a7c7ce440a5a,Nov 04 2025 20:52:38,Purchase,30.00,,-0.00033745,,87864.87,30.00,,Reversal,,
3d0a005a-cad5-449f-96f9-4935e1f4d133,Nov 04 2025 20:52:50,Purchase,-30.00,0.35,0.00033704,,87971.75,30.00,,,,
3d0a005a-cad5-449f-96f9-4935e1f4d133,Nov 04 2025 20:52:50,Purchase,30.00,,-0.00033704,,87971.75,30.00,,Reversal,,
c44bb00e-ad3f-49e8-b64d-6ed2c4152f5e,Nov 04 2025 20:52:56,Purchase,-30.00,0.35,0.00033709,,87958.71,30.00,,,,
c44bb00e-ad3f-49e8-b64d-6ed2c4152f5e,Nov 04 2025 20:52:56,Purchase,30.00,,-0.00033709,,87958.71,30.00,,Reversal,,
fc9c5610-f73c-4607-80af-8f0453fc813f,Nov 04 2025 20:53:09,Purchase,-30.00,0.35,0.00033736,,87888.31,30.00,,,,
fc9c5610-f73c-4607-80af-8f0453fc813f,Nov 04 2025 20:53:09,Purchase,30.00,,-0.00033736,,87888.31,30.00,,Reversal,,
3e0d9738-2085-491a-828f-faffabbbac13,Nov 04 2025 20:53:20,Purchase,-30.00,0.35,0.00033787,,87755.65,30.00,,,,
3e0d9738-2085-491a-828f-faffabbbac13,Nov 04 2025 20:53:20,Purchase,30.00,,-0.00033787,,87755.65,30.00,,Reversal,,
7b07d86a-6d86-4e62-8baa-ff94118d74a5,Nov 04 2025 22:32:50,Send,,,-0.00024107,0.00001164,,,bc1quwzzq9rswwg9wj2wg2xmss0zfks8n7x57v4wgs,,890d54a796b70787c2d2497cb9095011ea1496579eeb84f27e564c8789422625,
87e34a3e-c227-436d-867b-9d95eda17399,Nov 14 2025 13:21:47,Deposit,2000.00,,,,,,,,,
bddb1354-f2f7-4a06-af89-e592eb4c84d2,Nov 16 2025 09:31:29,Purchase,-2000.00,19.61,,,79200.01,2000.00,,Initiated target order,,
