Reference,Date & Time (UTC),Transaction Type,Amount EUR,Fee EUR,Amount BTC,Fee BTC,BTC Price,Cost Basis (EUR),Destination,Description,Note
36ea853d-1083-42c5-8594-7bfb16320362,Oct 06 2025 11:37:40,Deposit,68.00,,,,,,,,
c0de2a93-e201-4f6f-aa0b-6b43fa5796ee,Oct 06 2025 11:38:05,Purchase,-68.00,0.87,0.00062995,,106564.01,68.00,,,
7cffec59-0e69-43b6-9508-a7f12942c3e0,Oct 17 2025 14:10:12,Deposit,27.76,,,,,,,,
d716dd56-63b1-4c30-b53e-f15cf4d53af1,Oct 17 2025 21:25:01,Purchase,-27.76,0.35,,,83000.24,27.76,,Initiated target order,
d716dd56-63b1-4c30-b53e-f15cf4d53af1,Oct 17 2025 21:26:18,Purchase,27.76,,,,83000.24,27.76,,Cancelled/expired target order,
6d7022b0-f76b-4674-81af-3296e1bf0951,Oct 17 2025 21:26:46,Purchase,-27.76,0.35,,,88002.05,27.76,,Initiated target order,
6d7022b0-f76b-4674-81af-3296e1bf0951,Oct 20 2025 10:13:06,Purchase,27.76,,,,88002.05,27.76,,Cancelled/expired target order,
78b3428b-8bb5-4f89-9978-76bc1c8dfcd6,Oct 20 2025 10:14:00,Purchase,-27.76,0.35,0.00028743,,95362.35,27.76,,,
1c6c9f01-e74d-4fe1-8674-6c5894254ad9,Oct 20 2025 10:15:49,Send,,,-0.00091738,,,,bc1qx07s0dx90vwzpgusa6qkayrrdctnk693yng0hf,,
c640d52d-939d-4b31-9a5d-3cb73e68d575,Oct 27 2025 10:56:51,Deposit,400.00,,,,,,,,
b9c655df-ff4c-4b75-b934-f53501ec6796,Oct 27 2025 10:57:30,Credit,0.00,,0.0000048,,,,,,
d2210f4b-82ae-405c-b33b-1e0dc60d906f,Oct 27 2025 10:57:30,Purchase,-395.30,4.70,0.00398286,,99250.29,395.30,,,
ccce95d4-3696-487b-bffd-aa754365d2f2,Oct 27 2025 10:59:31,Send,,,-0.00398766,,,,bc1qy4qsphyv45pu967nrh27fzdpnzh0njn42fzpxq,,
