Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total,Currency (Total)
Interest on cash,2025-12-01 02:03:59,,,,"Interest on cash",e8cfc6fb-5098-4612-850b-fd057a989a64,,,,,0.69,"EUR"
Interest on cash,2025-12-02 02:03:53,,,,"Interest on cash",8265303b-1277-48fc-b025-ec095368f558,,,,,0.68,"EUR"
Interest on cash,2025-12-03 02:03:41,,,,"Interest on cash",266355d2-40eb-407a-a6b4-657b81514a5f,,,,,0.69,"EUR"
Interest on cash,2025-12-04 02:03:41,,,,"Interest on cash",96aa47b2-8102-4e5a-ba9d-183f0b44bf32,,,,,0.68,"EUR"
Interest on cash,2025-12-05 02:03:37,,,,"Interest on cash",5483959d-80cd-4d86-871c-3e0944b0bba4,,,,,0.69,"EUR"
Interest on cash,2025-12-06 02:03:39,,,,"Interest on cash",de03f962-a877-402f-93be-146aec44873c,,,,,0.69,"EUR"
Interest on cash,2025-12-07 02:03:42,,,,"Interest on cash",686b511a-3b92-4ea8-bbd4-e35741847f96,,,,,0.68,"EUR"
Interest on cash,2025-12-08 02:03:46,,,,"Interest on cash",f8f8c4a9-b0bc-4984-b5f6-6a04429c1c49,,,,,0.69,"EUR"
Interest on cash,2025-12-09 02:03:48,,,,"Interest on cash",d4212023-150b-413a-b39d-9a9e7480fcc1,,,,,0.68,"EUR"
Interest on cash,2025-12-10 02:03:50,,,,"Interest on cash",974911b6-6c8b-4117-a21f-9ff301adb131,,,,,0.69,"EUR"
Interest on cash,2025-12-11 02:03:13,,,,"Interest on cash",97ec10b0-eb1f-4994-a62f-72ce61280891,,,,,0.69,"EUR"
Interest on cash,2025-12-12 02:03:12,,,,"Interest on cash",2fb8a056-e504-424b-b7c5-60d6857ce81d,,,,,0.68,"EUR"
Interest on cash,2025-12-13 02:03:18,,,,"Interest on cash",504b3d31-6995-4d9d-9ce4-4f300a4524fb,,,,,0.69,"EUR"
Interest on cash,2025-12-14 02:03:23,,,,"Interest on cash",f9296329-23c2-4902-b73a-d6786cda997d,,,,,0.68,"EUR"
Interest on cash,2025-12-15 02:03:21,,,,"Interest on cash",bbfe1b9b-5d1a-432f-850b-0bba1dfa1f82,,,,,0.69,"EUR"
Interest on cash,2025-12-16 02:03:14,,,,"Interest on cash",5b5ce1f9-919d-46cb-9d52-8c5aaf6c44e6,,,,,0.69,"EUR"
Interest on cash,2025-12-17 02:03:09,,,,"Interest on cash",c97c828a-3d37-4b18-b441-91102e2453f7,,,,,0.68,"EUR"
Interest on cash,2025-12-18 02:03:11,,,,"Interest on cash",55b44ce8-2eac-4ea6-be71-bbc0bd74379a,,,,,0.69,"EUR"
Interest on cash,2025-12-19 02:03:21,,,,"Interest on cash",ce5aee21-8e77-4a2c-9c3b-ae5789ecc2f3,,,,,0.68,"EUR"
Interest on cash,2025-12-20 02:03:25,,,,"Interest on cash",c2018236-c180-44f7-8696-83dcaea7e607,,,,,0.69,"EUR"
Interest on cash,2025-12-21 02:03:23,,,,"Interest on cash",4dc53a6d-cb8b-4204-a9c5-e0f9581350ca,,,,,0.69,"EUR"
Interest on cash,2025-12-22 02:03:24,,,,"Interest on cash",37ce1567-3de0-4fde-916f-99d4821e285d,,,,,0.68,"EUR"
Interest on cash,2025-12-23 02:03:09,,,,"Interest on cash",d62cb74e-7f8e-4dea-9864-f951e2ea7434,,,,,0.69,"EUR"
