Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Deposit,2022-12-08 19:15:10,,,,,,,,,,,,10.00,"EUR",,,,,,,,
Deposit,2022-12-08 20:07:39,,,,,,,,,,,,90.00,"EUR",,,,,,,,
Market buy,2022-12-08 20:12:02,US46625H1005,JPM,"JPMorgan Chase & Co",,,0.0397585000,132.540000,USD,1.05603037,,"EUR",5.00,"EUR",,,,,0.01,"EUR",,
Market buy,2022-12-08 20:12:02,US8825081040,TXN,"Texas Instruments",,,0.0299681000,175.840000,USD,1.05603020,,"EUR",5.00,"EUR",,,,,0.01,"EUR",,
Market buy,2022-12-08 20:12:03,US4581401001,INTC,"Intel",,,0.1852230000,28.450000,USD,1.05603093,,"EUR",5.00,"EUR",,,,,0.01,"EUR",,
Market buy,2022-12-08 20:12:03,US7475251036,QCOM,"Qualcomm",,,0.0432608000,121.810000,USD,1.05603167,,"EUR",5.00,"EUR",,,,,0.01,"EUR",,
Market buy,2022-12-08 20:12:04,US00206R1023,T,"AT&T",,,0.2758950000,19.100000,USD,1.05603096,,"EUR",5.00,"EUR",,,,,0.01,"EUR",,
Market buy,2022-12-08 20:12:14,US20030N1019,CMCSA,"Comcast",,,0.1509910000,34.900000,USD,1.05602923,,"EUR",5.00,"EUR",,,,,0.01,"EUR",,
Market buy,2022-12-08 20:12:16,US11135F1012,AVGO,"Broadcom",,,0.0099267000,530.850000,USD,1.05602979,,"EUR",5.00,"EUR",,,,,0.01,"EUR",,
Market buy,2022-12-09 08:00:03,IE00BZ163K21,VUCP,"Vanguard USD Corporate Bond (Dist)",,,0.1105120000,45.243000,EUR,1.00000000,,"EUR",5.00,"EUR",,,,,,,,
Market buy,2022-12-09 08:00:09,PTEDP0AM0009,EDP,"EDP - Energias de Portugal",,,1.0964600000,4.560000,EUR,1.00000000,,"EUR",5.00,"EUR",,,,,,,,
Market buy,2022-12-09 08:00:10,PTPTI0AM0006,NVG,"Navigator",,,1.3527800000,3.696000,EUR,1.00000000,,"EUR",5.00,"EUR",,,,,,,,
Market buy,2022-12-09 08:00:25,PTSON0AM0001,SON,"Sonae",,,5.2937000000,0.944500,EUR,1.00000000,,"EUR",5.00,"EUR",,,,,,,,
Market buy,2022-12-09 08:00:29,FR0000120644,BN,"Danone",,,0.0996000000,50.050000,EUR,1.00000000,,"EUR",4.99,"EUR",,,,,,,0.01,"EUR"
Market buy,2022-12-09 08:00:32,GB0007188757,RIO,"Rio Tinto",,,0.0738250500,5799.000000,GBX,86.13912775,,"EUR",5.00,"EUR",,,0.02,"EUR",0.01,"EUR",,
Market buy,2022-12-09 08:00:45,IE00BDQYWQ65,SXRH,"iShares $ Tips 0-5 (Dist)",,,2.0711000000,4.828300,EUR,1.00000000,,"EUR",10.00,"EUR",,,,,,,,
Market buy,2022-12-09 08:03:01,IE00B42WWV65,VGOV,"Vanguard U.K. Gilt (Dist)",,,0.2350030000,18.312500,GBP,0.86242333,,"EUR",5.00,"EUR",,,,,0.01,"EUR",,
Market buy,2022-12-09 08:05:08,NL0009690239,TRET,"VanEck Global Real Estate (Dist)",,,0.1364630000,36.639000,EUR,1.00000000,,"EUR",5.00,"EUR",,,,,,,,
Market buy,2022-12-09 08:05:21,IE00B8GKDB10,VHYL,"Vanguard FTSE All-World High Dividend Yield (Dist)",,,0.0889940000,56.182000,EUR,1.00000000,,"EUR",5.00,"EUR",,,,,,,,
Market buy,2022-12-09 08:05:25,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",,,0.1397860000,71.537000,EUR,1.00000000,,"EUR",10.00,"EUR",,,,,,,,
Deposit,2022-12-13 16:31:45,,,,,,,,,,,,100.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:12,US20030N1019,CMCSA,"Comcast",,,0.0863110000,37.030000,USD,1.06536544,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:12,US7561091049,O,"Realty Income",,,0.0491170000,65.070000,USD,1.06534773,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:12,US00206R1023,T,"AT&T",,,0.1657720000,19.280000,USD,1.06536138,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:12,NL00150001Q9,STLA,"Stellantis",,,0.2174210000,14.700000,USD,1.06536290,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:12,US3755581036,GILD,"Gilead Sciences",,,0.0359790000,88.830000,USD,1.06533819,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:12,US11135F1012,AVGO,"Broadcom",,,0.0055577000,575.070000,USD,1.06535551,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:12,US8825081040,TXN,"Texas Instruments",,,0.0178184000,179.370000,USD,1.06536213,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:12,US2193501051,GLW,"Corning",,,0.0933980000,34.220000,USD,1.06535985,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:13,US7475251036,QCOM,"Qualcomm",,,0.0255259000,125.210000,USD,1.06536597,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:14,US46625H1005,JPM,"JPMorgan Chase & Co",,,0.0237539000,134.550000,USD,1.06536241,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:14,US4581401001,INTC,"Intel",,,0.1098310000,29.100000,USD,1.06536070,,"EUR",3.00,"EUR",,,,,,,,
Market buy,2022-12-13 16:33:15,IE00BTN1Y115,MDT,"Medtronic",,,0.0394920000,80.930000,USD,1.06536252,,"EUR",3.00,"EUR",,,,,,,,
